what,kind,bundleId,bundleVersion,description,time
error,log,,,"Could not read settings.xml, assuming default values",1318954855472
error,log,,,"Could not read settings.xml, assuming default values",1318954855473
error,log,,,"Could not read settings.xml, assuming default values",1318954855474
error,log,,,"Could not read settings.xml, assuming default values",1318954855479
error,log,,,"Could not read settings.xml, assuming default values",1318954855480
error,log,,,"Could not read settings.xml, assuming default values",1318954855481
error,log,,,"Could not read settings.xml, assuming default values",1318954855481
error,log,,,"Could not read settings.xml, assuming default values",1318954855482
error,log,,,"Could not read settings.xml, assuming default values",1318954855483
error,log,,,"Could not read settings.xml, assuming default values",1318954855484
error,log,,,"Could not read settings.xml, assuming default values",1318954855485
error,log,,,"Could not read settings.xml, assuming default values",1318954855486
error,log,,,"Could not read settings.xml, assuming default values",1318954855487
error,log,,,"Could not read settings.xml, assuming default values",1318954855488
error,log,,,"Could not read settings.xml, assuming default values",1318954855489
error,log,,,"Could not read settings.xml, assuming default values",1318954855490
error,log,,,"Could not read settings.xml, assuming default values",1318954855490
error,log,,,"Could not read settings.xml, assuming default values",1318954855491
error,log,,,"Could not read settings.xml, assuming default values",1318954855492
error,log,,,"Could not read settings.xml, assuming default values",1318954855493
error,log,,,"Could not read settings.xml, assuming default values",1318954855494
error,log,,,"Could not read settings.xml, assuming default values",1318954855495
error,log,,,"Could not read settings.xml, assuming default values",1318954855496
error,log,,,"Could not read settings.xml, assuming default values",1318954855497
error,log,,,"Could not read settings.xml, assuming default values",1318954855498
error,log,,,"Could not read settings.xml, assuming default values",1318954855498
error,log,,,"Could not read settings.xml, assuming default values",1318954855499
error,log,,,"Could not read settings.xml, assuming default values",1318954855500
error,log,,,"Could not read settings.xml, assuming default values",1318954855501
error,log,,,"Could not read settings.xml, assuming default values",1318954855502
error,log,,,"Could not read settings.xml, assuming default values",1318954855503
error,log,,,"Could not read settings.xml, assuming default values",1318954855504
error,log,,,"Could not read settings.xml, assuming default values",1318954855505
error,log,,,"Could not read settings.xml, assuming default values",1318954855505
error,log,,,"Could not read settings.xml, assuming default values",1318954855506
error,log,,,"Could not read settings.xml, assuming default values",1318954855507
error,log,,,"Could not read settings.xml, assuming default values",1318954855508
error,log,,,"Could not read settings.xml, assuming default values",1318954855509
error,log,,,"Could not read settings.xml, assuming default values",1318954855510
error,log,,,"Could not read settings.xml, assuming default values",1318954855510
error,log,,,"Could not read settings.xml, assuming default values",1318954855511
error,log,,,"Could not read settings.xml, assuming default values",1318954855512
error,log,,,"Could not read settings.xml, assuming default values",1318954855513
error,log,,,"Could not read settings.xml, assuming default values",1318954855514
error,log,,,"Could not read settings.xml, assuming default values",1318954855515
error,log,,,"Could not read settings.xml, assuming default values",1318954855516
error,log,,,"Could not read settings.xml, assuming default values",1318954855516
error,log,,,"Could not read settings.xml, assuming default values",1318954855517
error,log,,,"Could not read settings.xml, assuming default values",1318954855518
error,log,,,"Could not read settings.xml, assuming default values",1318954855519
error,log,,,"Could not read settings.xml, assuming default values",1318954855520
error,log,,,"Could not read settings.xml, assuming default values",1318954855521
error,log,,,"Could not read settings.xml, assuming default values",1318954855522
error,log,,,"Could not read settings.xml, assuming default values",1318954855523
error,log,,,"Could not read settings.xml, assuming default values",1318954855527
error,log,,,"Could not read settings.xml, assuming default values",1318954855528
error,log,,,"Could not read settings.xml, assuming default values",1318954855529
error,log,,,"Could not read settings.xml, assuming default values",1318954855530
error,log,,,"Could not read settings.xml, assuming default values",1318954855531
error,log,,,"Could not read settings.xml, assuming default values",1318954855531
error,log,,,"Could not read settings.xml, assuming default values",1318954855532
error,log,,,"Could not read settings.xml, assuming default values",1318954855533
error,log,,,"Could not read settings.xml, assuming default values",1318954855534
error,log,,,"Could not read settings.xml, assuming default values",1318954855535
error,log,,,"Could not read settings.xml, assuming default values",1318954855536
error,log,,,"Could not read settings.xml, assuming default values",1318954855537
error,log,,,"Could not read settings.xml, assuming default values",1318954855538
error,log,,,"Could not read settings.xml, assuming default values",1318954855539
error,log,,,"Could not read settings.xml, assuming default values",1318954855540
error,log,,,"Could not read settings.xml, assuming default values",1318954855541
error,log,,,"Could not read settings.xml, assuming default values",1318954855542
error,log,,,"Could not read settings.xml, assuming default values",1318954855543
error,log,,,"Could not read settings.xml, assuming default values",1318954855544
error,log,,,"Could not read settings.xml, assuming default values",1318954855545
error,log,,,"Could not read settings.xml, assuming default values",1318954855546
error,log,,,"Could not read settings.xml, assuming default values",1318954855546
error,log,,,"Could not read settings.xml, assuming default values",1318954855547
error,log,,,"Could not read settings.xml, assuming default values",1318954855548
error,log,,,"Could not read settings.xml, assuming default values",1318954855549
error,log,,,"Could not read settings.xml, assuming default values",1318954855550
error,log,,,"Could not read settings.xml, assuming default values",1318954855551
error,log,,,"Could not read settings.xml, assuming default values",1318954855552
error,log,,,"Could not read settings.xml, assuming default values",1318954855553
error,log,,,"Could not read settings.xml, assuming default values",1318954855554
error,log,,,"Could not read settings.xml, assuming default values",1318954855555
error,log,,,"Could not read settings.xml, assuming default values",1318954855556
error,log,,,"Could not read settings.xml, assuming default values",1318954855557
error,log,,,"Could not read settings.xml, assuming default values",1318954855558
error,log,,,"Could not read settings.xml, assuming default values",1318954855559
error,log,,,"Could not read settings.xml, assuming default values",1318954855560
error,log,,,"Could not read settings.xml, assuming default values",1318954855561
error,log,,,"Could not read settings.xml, assuming default values",1318954855561
error,log,,,"Could not read settings.xml, assuming default values",1318954855562
error,log,,,"Could not read settings.xml, assuming default values",1318954855563
error,log,,,"Could not read settings.xml, assuming default values",1318954855564
error,log,,,"Could not read settings.xml, assuming default values",1318954855565
error,log,,,"Could not read settings.xml, assuming default values",1318954855566
error,log,,,"Could not read settings.xml, assuming default values",1318954855567
error,log,,,"Could not read settings.xml, assuming default values",1318954855568
error,log,,,"Could not read settings.xml, assuming default values",1318954855569
error,log,,,"Could not read settings.xml, assuming default values",1318954855570
error,log,,,"Could not read settings.xml, assuming default values",1318954855572
error,log,,,"Could not read settings.xml, assuming default values",1318954855573
error,log,,,"Could not read settings.xml, assuming default values",1318954855574
error,log,,,"Could not read settings.xml, assuming default values",1318954855579
error,log,,,"Could not read settings.xml, assuming default values",1318954855580
error,log,,,"Could not read settings.xml, assuming default values",1318954855581
error,log,,,"Could not read settings.xml, assuming default values",1318954855582
error,log,,,"Could not read settings.xml, assuming default values",1318954855583
