what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1318954921282
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1318954921282
os,sysinfo,,,"macosx",1318954921285
arch,sysinfo,,,"x86_64",1318954921285
ws,sysinfo,,,"cocoa",1318954921285
locale,sysinfo,,,"en_US",1318954921285
processors,sysinfo,,,"8",1318954921285
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1318954921285
java.runtime.version,sysinfo,,,"1.6.0_26-b03-383-11A511",1318954921285
java.specification.name,sysinfo,,,"Java Platform API Specification",1318954921285
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318954921285
java.specification.version,sysinfo,,,"1.6",1318954921285
java.vendor,sysinfo,,,"Apple Inc.",1318954921285
java.version,sysinfo,,,"1.6.0_26",1318954921285
java.vm.info,sysinfo,,,"mixed mode",1318954921285
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1318954921285
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318954921285
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1318954921285
java.vm.specification.version,sysinfo,,,"1.0",1318954921285
java.vm.vendor,sysinfo,,,"Apple Inc.",1318954921285
java.vm.version,sysinfo,,,"20.1-b02-383",1318954921285
started,bundle,com.fusesource.rider.model,2.0.2,"com.fusesource.rider.model",1318954924036
started,bundle,com.fusesource.ide.fabric.camel,2.0.2,"com.fusesource.ide.fabric.camel",1318954924118
started,bundle,com.fusesource.ide.fabric.servicemix,2.0.2,"com.fusesource.ide.fabric.servicemix",1318954924165
started,bundle,com.fusesource.ide.jmx.ui,2.0.2,"com.fusesource.ide.jmx.ui",1318954924863
started,bundle,com.fusesource.ide.jmx.local,2.0.2,"com.fusesource.ide.jmx.local",1318954924864
started,bundle,com.fusesource.rider.editor,2.0.2,"com.fusesource.rider.editor",1318954924865
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1318954925105
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1318954935437
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1318954935745
